LegacyName,OVR,Year,Clan,Leader,Class Player,Cheater,Source,RCL
mxrced,89,2026,,,,,Matcha tier list,
ReaperMagic,89,2026,VAK,,,,Matcha tier list,
vurnextdoor,89,2024,RoR,,,,Submission,
cencede,89,2024,Snow Core,,,,Personal,
desolight,89,2024,,,,,,
medicide,89,2014,,,,,Legacy,TRUE
kreayc,89,2025,SOL,,,,Sol Cup 2025,
khritus,93,2025,SOL,,,,Raid stats,
Shinsire,89,2025,SOL,,,,Sol Cup 2025,
deadlyful,89,2025,SOL,,,,Sol Cup 2025,
paul321321,89,2025,SOL,Elite,,,Sol Cup 2025,
bombpacts,89,2023,VAK,,,,,
scilz,89,2020,Prime,,,,2020 CCL stats,
KILLMAN,89,2023,VAK,,,,2023 tier list,
shaquillee,89,2023,VAK,,,,2023 tier list,
c4spian,89,2026,,,,,Matcha tier list,
dxqip,89,2025,,,,,Personal,
Kneaz,89,2025,VAK,,,,,
j_sterrs,89,2023,,,,,,
obinco,89,2025,,,,,,
Laedere,89,2020,ARCON,,,,2020 CCL stats,
brizingers,89,2018,,,,,all-time impact top 100,TRUE
Sidees,89,2021,,,,,2021 CCL draft,
lucraz,89,2023,WIJ,,,,2023 tier list,
daeshH,89,2020,,,,,2020 CCL stats,
EnterScreenName,89,2020,,,,,2020 CCL stats,
halstad,89,2022,WIJ,,,,haypro top 30,
Pryxis,89,2022,ARCON,,,,haypro top 30,
Sofapoppin,89,2022,VAK,,,,haypro top 30,
thegodofmariokartwii,89,2024,SOL,,,,SOL Summer 2024,
s2n_phino,89,2024,SOL,,,,SOL Summer 2024,
FreedomReaper,89,2026,VAK,,,,VCL 2026,
no_logic,89,2026,VAK,,,,VCL 2026,
Heimdir,88,2022,VAK,,,,2022 Summer Games draft,
GhostTactical,88,2020,,Elite,,,all-time impact top 100,
BodyRipped,88,2021,BEAR,,,,all-time impact top 100,
Jerehly,88,2021,,,,,2021 gun-clanner list,
lorddicys,88,2022,SURGE,,,,,
feelmyquad,88,2021,,,,,2021 CCL draft,
Shortnize,88,2021,,,,,Personal,
s9nso,88,2023,SOL,,,,Sol Cup 2023,
cahpuh,88,2023,SOL,Experienced,,,Sol Cup 2023,
thegodofmariokartwii,88,2023,SOL,,,,Sol Cup 2023,
LimitingFactors,88,2023,SOL,,,,Sol Cup 2023,
damejulio1942,88,2025,SOL,,,,Sol Cup 2025,
Craidd,88,2025,SOL,,,,Sol Cup 2025,
scq,88,2025,SOL,,,,Sol Cup 2025,
Ghostly427,88,2025,SOL,,,,Sol Cup 2025,
s9nso,88,2025,SOL,,,,Sol Cup 2025,
Kneaz,88,2023,VAK,,,,,
dibbix,88,2021,,,,,2021 CCL draft,
obinco,88,2026,VAK,,,,Matcha tier list,
V_iridian,88,2026,VAK,,,,Matcha tier list,
stab_y,88,2020,VAK,,,,2020 tier list,
sybr,88,2021,,,,,all-time impact top 100,
Rizicks,88,2020,S9,,,,2020 tier list,
HanoClique,88,2020,,Experienced,,,2020 tier list,
Hoolay,88,2020,,,,,2020 CCL stats,
Memeserii,88,2020,,,,,2020 CCL stats,
restlesspell,88,2020,,,,,2020 CCL stats,
ImperfectJayboss,88,2024,SOL,,,,SOL Summer 2024,
khritus,92,2024,SOL,,,,Raid stats,
V_iridian,89,2024,SOL,,,,Raid stats,
p_ams,88,2024,SOL,,,,SOL Summer 2024,
mentalmonkeydream,88,2024,SOL,,,,SOL Summer 2024,
wrystt,88,2024,SOL,,,,SOL Summer 2024,
sightscore,88,2024,SOL,,,,SOL Summer 2024,
unforspace,88,2020,,,,,Latest tier list,
crash6474,87,2022,VAK,,,,2022 Summer Games draft,
ApexFaMe,87,2022,VAK,,,,2022 Summer Games draft,
luminated,87,2022,VAK,,,,2022 Summer Games draft,
bombpacts,87,2020,VAK,,,,2020 tier list,
ajfon163,87,2020,44th,,,,2020 tier list,
Eureti,87,2020,ARCON,,,,2020 tier list,
KakashiMontage,87,2020,Snow Core,,,,2020 tier list,
RektItCola,87,2020,ARCON,,,,2020 tier list,
Rxfresh,87,2020,ARCON,,,,2020 tier list,
theNBK,87,2020,CSP,,,,2020 tier list,
Zaminite,87,2020,44th,,,,2020 tier list,
deadly,87,2021,,,,,all-time impact top 100,
HanoClique,87,2021,,Experienced,,,2021 gun-clanner list,
luminated,87,2021,,Experienced,,,2021 gun-clanner list,
sentXI,87,2021,,,,,all-time impact top 100,
youngcion,87,2021,,,,,2021 gun-clanner list,
zyyrus,87,2021,,,,,2021 gun-clanner list,
BRUTALlSE,87,2026,,,,,Matcha tier list,
Carl71078,87,2026,,,,,Matcha tier list,
deadlyful,87,2026,,,,,Matcha tier list,
kreayc,87,2026,,,,,Matcha tier list,
qirvv,87,2026,,,,,Matcha tier list,
redlqc,87,2026,VAK,,,,Matcha tier list,
renshire,87,2026,,,,,Matcha tier list,
vaporizedv,87,2026,,,,,Matcha tier list,
sapphireova,87,2023,,,,,Personal,
gIoryfication,87,2023,[x]Tracker,,,,,
abosty,88,2024,,Experienced,,,Raid stats,
chetospanish,87,2025,,,,,,
mortflare,87,2023,,,,,,
Wattsohn,87,2022,VAK,,,,Personal,
Octasion,87,2021,,,,,2021 CCL draft,
Ran502,87,2023,SOL,,,,Sol Cup 2023,
scilz,87,2023,SOL,,,,Sol Cup 2023,
indulg,87,2023,SOL,,,,Sol Cup 2023,
stacvks,87,2023,SOL,,,,Sol Cup 2023,
Apocryphae,87,2025,SOL,,,,Sol Cup 2025,
Vyprahul,87,2025,SOL,,,,Sol Cup 2025,
