LegacyName,OVR,Year,Clan,Leader,Class Player,Cheater,Source,RCL
VisualSights,74,2020,WIJ,,,,2020 tier list,
w3Icometobloxburg,74,2020,44th,,,,2020 tier list,
Emmetbrickowski832,74,2021,,,,,all-time impact top 100,
mohxy,74,2021,,,,,all-time impact top 100,
bedsteasd,74,2026,,,,,Matcha tier list,
docenz,74,2026,,,,,Matcha tier list,
FeatherRedemption,74,2026,AC,Elite,,,Matcha tier list,
GeneralKarn,74,2026,,,,,Matcha tier list,
philong103,74,2026,,,,,Matcha tier list,
SatisfyingBoxtox,74,2026,VAK,,,,VCL 2026,
doggy27648,74,2026,VAK,,,,VCL 2026,
helmdor,74,2026,VAK,,,,VCL 2026,
N0TS0FR0STY,74,2026,VAK,,,,VCL 2026,
Sctrx,74,2026,VAK,,,,VCL 2026,
yeetpilled,74,2026,VAK,,,,VCL 2026,
fr3tsy,74,2026,VAK,,,,VCL 2026,
MLGWr4th,74,2026,VAK,,,,VCL 2026,
LVSandlez,74,2026,VAK,,,,VCL 2026,
Dubscore,74,2026,VAK,,,,VCL 2026,
sparhelpers,74,2026,VAK,,,,VCL 2026,
surgeiano,83,2018,,,,,all-time impact top 100,TRUE
Diub,73,2021,,,,,all-time impact top 100,
kielthenoob,73,2026,RoA,,,,Personal,
Rep_lsive,73,2023,RoA,Experienced,,,Personal,
slimesight,73,2026,SURGE,Experienced,,,Submission,
Khayso,73,2021,,,,,Growth interpolation,
Allyrion,73,2020,OP,,,,2020 tier list,
vGrayboy,73,2026,VAK,,,,Matcha tier list,
CHAPL41N,73,2026,VAK,,,,VCL 2026,
METHD0DMAN,73,2026,VAK,,,,VCL 2026,
godislife,73,2026,VAK,,,,VCL 2026,
rexr_x,73,2026,VAK,,,,VCL 2026,
LordVolex,73,2026,VAK,,,,VCL 2026,
flagstolen,73,2026,VAK,,,,VCL 2026,
ckgamboa14,73,2026,VAK,,,,VCL 2026,
roctetco,73,2026,VAK,,,,VCL 2026,
ChillZynethuisiast,73,2026,VAK,,,,VCL 2026,
toosliq,72,2019,,,,,all-time impact top 100,
TabooZapNuka,72,2020,MYTH,,,,all-time impact top 100,
Dadvop,72,2021,,,,,2021 gun-clanner list,
mollywhopped,72,2021,,,,,all-time impact top 100,
bombpacts,72,2019,,,,,all-time impact top 100,
Foxxism,72,2026,VAK,,,,Matcha tier list,
P4TCHED,72,2026,VAK,,,,VCL 2026,
nook12003,72,2026,VAK,,,,VCL 2026,
cryptscx,72,2026,VAK,,,,VCL 2026,
Vertlin,72,2026,VAK,,,,VCL 2026,
flopad12,72,2026,VAK,,,,VCL 2026,
Destroyer97,81,2018,,,,,all-time impact top 100,TRUE
101Carti,71,2020,,,,,2020 tier list,
Acindul,71,2020,,,,,2020 tier list,
Cvbop,71,2020,,,,,2020 tier list,
Evilkevo,71,2020,,,,,2020 tier list,
Jak_kes,71,2020,,,,,2020 tier list,
Kamu_I,71,2020,,,,,2020 tier list,
LastTopian,71,2020,,,,,2020 tier list,
Levitae,71,2020,,,,,2020 tier list,
Mollywhooped,71,2020,VAL,,,,2020 tier list,
p4tri0t,71,2020,,,,,2020 tier list,
PurpleMicro,71,2020,RSF,,,,2020 tier list,
Rotmxz,71,2020,,,,,2020 tier list,
RushAiot,71,2020,,,,,2020 tier list,
sp_artan,71,2020,Prime,,,,2020 tier list,
Vanixus,71,2020,,,,,2020 tier list,
Zkarex,71,2020,,,,,2020 tier list,
Laedere,81,2016,,,,,all-time impact top 100,TRUE
a_cemaster,70,2026,RoA,Experienced,,,Personal,
OpticIllusion101,80,2016,,,,,all-time impact top 100,TRUE
parasights,80,2016,,,,,all-time impact top 100,TRUE
BeanithBomber,80,2017,,,,,all-time impact top 100,TRUE
frogfrog5,70,2021,,Experienced,,,Personal,
EnterScreenName,79,2017,,,,,all-time impact top 100,TRUE
Shatteroni,78,2017,,,,,all-time impact top 100,TRUE
rystanvx,68,2021,,,,,2021 gun-clanner list,
YungsterBeetleJuice,68,2021,,,,,2021 gun-clanner list,
lordtyler,77,2017,,,,,all-time impact top 100,TRUE
omni,77,2017,,,,,all-time impact top 100,TRUE
Khayso,67,2020,,,,,all-time impact top 100,
Lagqy,67,2020,,,,,2020 tier list,
Saberspell,67,2020,,,,,2020 tier list,
CaptainHamster387,67,2026,,,,,Matcha tier list,
dawid2177,67,2026,,,,,Matcha tier list,
roidboy8,67,2026,,,,,Matcha tier list,
LucifersValor,67,2026,,,,,,
outbck,66,2021,,,,,2021 gun-clanner list,
sportsfan0719,65,2023,,,,,,
yurk_xe,58,2026,BW,,,,Matcha tier list,
KeisukeHiraga,57,2026,UCR,,,,Submission,
AmazoXII,57,2026,,,,,,
therealchampman,86,2014,,,,,,TRUE
(obscured),88,2025,,,,,Raid stats,
265jah,87,2024,,,,,Raid stats,
8kr6,87,2025,,,,,Raid stats,
Asteyrius,86,2024,,,,,Raid stats,
Austingani3,87,2024,,,,,Raid stats,
Azuracy,86,2024,,,,,Raid stats,
Bacon_Man5000,87,2025,,,,,Raid stats,
Bolifax,87,2024,,,,,Raid stats,
Camtheboi14,86,2024,,,,,Raid stats,
CoolAndrewNumber1,86,2025,,,,,Raid stats,
CynicalFishy,86,2024,,,,,Raid stats,
Enchzx,87,2024,,,,,Raid stats,
Enigmatic_Compon,87,2024,,,,,Raid stats,
Enkhio,87,2024,,,,,Raid stats,
FIBRAA,87,2024,,,,,Raid stats,
FIBRAA,87,2025,,,,,Raid stats,
G2_RCM,87,2024,,,,,Raid stats,
G4ME4LL,86,2024,,,,,Raid stats,
J1HNY,88,2024,,,,,Raid stats,
JakeAtlantis,87,2024,,,,,Raid stats,
Johnnyy_Walker,86,2024,,,,,Raid stats,
MeepCitense_59,86,2024,,,,,Raid stats,
MrCometDusts,87,2024,,,,,Raid stats,
Noctor765_YT,87,2024,,,,,Raid stats,
PANSTAT99,86,2024,,,,,Raid stats,
PAWSKELLYMERC,87,2024,,,,,Raid stats,
RedactedSightz,86,2024,,,,,Raid stats,
SN_Apyrzional,87,2024,,,,,Raid stats,
SnowAtor,87,2024,,,,,Raid stats,
SoylentDingleBerry,87,2024,,,,,Raid stats,
Stratvgy,87,2025,,,,,Raid stats,
TarBlackCoonMonkey,87,2024,,,,,Raid stats,
VESPA_HUNTER,87,2025,,,,,Raid stats,
ValorExostylx,86,2024,,,,,Raid stats,
Vr1tux,87,2024,,,,,Raid stats,
WETLOVOTIRAGINGDUC,87,2024,,,,,Raid stats,
Xxjake_zx,86,2024,,,,,Raid stats,
Zylosian,86,2024,,,,,Raid stats,
arrchonn,87,2024,,,,,Raid stats,
awespell,86,2024,,,,,Raid stats,
battlebans,86,2024,,,,,Raid stats,
bloodinbeijing,86,2024,,,,,Raid stats,
byfroncantstopghost,86,2024,,,,,Raid stats,
c9iro,87,2025,,,,,Raid stats,
chocolatemilk24719,87,2025,,,,,Raid stats,
d9riaa,87,2024,,,,,Raid stats,
deezmvn,87,2024,,,,,Raid stats,
dualyy,87,2025,,,,,Raid stats,
evilchxw,87,2025,,,,,Raid stats,
evis2026,88,2025,,,,,Raid stats,
exRatchet,87,2024,,,,,Raid stats,
flawstad_imrecording,87,2025,,,,,Raid stats,
h3untrix,87,2024,,,,,Raid stats,
handprlnt,86,2024,,,,,Raid stats,
handprlnt,86,2025,,,,,Raid stats,
jawsator,87,2024,,,,,Raid stats,
jawsator,87,2025,,,,,Raid stats,
lmk,87,2025,,,,,Raid stats,
lolxdroflhahah,87,2025,,,,,Raid stats,
lsxaiah,87,2025,,,,,Raid stats,
lv3_l,86,2025,,,,,Raid stats,
medvai2,86,2024,,,,,Raid stats,
menter,87,2024,,,,,Raid stats,
nullhunter,87,2024,,,,,Raid stats,
omwlilbro,86,2025,,,,,Raid stats,
omwsnax,87,2024,,,,,Raid stats,
omwvalk,87,2024,,,,,Raid stats,
omwvin,87,2024,,,,,Raid stats,
osaidasasldik2,87,2024,,,,,Raid stats,
outpasts,87,2024,,,,,Raid stats,
shugharts,87,2024,,,,,Raid stats,
swimmervicen,86,2024,,,,,Raid stats,
t_enshimaster,87,2024,,,,,Raid stats,
t_enshimaster,87,2025,,,,,Raid stats,
thundercxdes,86,2024,,,,,Raid stats,
tobehonestba,87,2025,,,,,Raid stats,
vertispace,87,2024,,,,,Raid stats,
vliq3,87,2025,,,,,Raid stats,
vursaceeee,87,2025,,,,,Raid stats,
x2askl7z3n57vn,87,2025,,,,,Raid stats,
ANTLCIPATE,86,2025,,,,,Raid stats,
Aurelilian,85,2025,,,,,Raid stats,
BUCVKS,86,2025,,,,,Raid stats,
DPRSPOOK,85,2025,,,,,Raid stats,
DRNONCHAIANT,85,2025,,,,,Raid stats,
MALIICE,86,2025,,,,,Raid stats,
OT7SURGE,86,2025,,,,,Raid stats,
PEEJAYY,86,2025,,,,,Raid stats,
